Unnamed: 0,question,answer
1367,do they know what the robber looks like,yes hes 6 feet tall 200 pounds black hair and about 30 years old
1368,yes hes 6 feet tall 200 pounds black hair and about 30 years old,what race is he
1369,what race is he,they didnt say
1370,they didnt say,the tv news doesnt tell us the race anymore
1371,the tv news doesnt tell us the race anymore,of course not that would be racist
1372,of course not that would be racist,but how can we identify someone if we dont know their race
1373,but how can we identify someone if we dont know their race,dont ask me
1374,dont ask me,then they also shouldnt tell us if the robber is male or female because that is sexist
1375,dont wipe your nose on your sleeve,but i dont have a tissue
1376,but i dont have a tissue,then go find a tissue in the bathroom
1377,then go find a tissue in the bathroom,i didnt have time to get one from there
1378,i didnt have time to get one from there,your sleeves are not tissues
1379,your sleeves are not tissues,but mom all my friends use their sleeves
1380,but mom all my friends use their sleeves,that doesnt make it right
1381,that doesnt make it right,i saw dad wipe his nose on his sleeve yesterday
1382,i saw dad wipe his nose on his sleeve yesterday,i will talk to your father about that
1383,i will talk to your father about that,i bet dad did it all the time when he was my age
1384,i bet dad did it all the time when he was my age,your daddy was a good little boy
1385,your daddy was a good little boy,how do you know were you his mommy too
1386,im worried,worried about what
1387,worried about what,im getting married
1388,im getting married,you should be happy not worried
1389,you should be happy not worried,i am happy but marriage is a lot of responsibility
1390,i am happy but marriage is a lot of responsibility,yes you have to take care of your wife
1391,yes you have to take care of your wife,and i have to take care of our children
1392,and i have to take care of our children,are you going to start a family
1393,are you going to start a family,yes we want to have a little boy and a little girl
1394,yes we want to have a little boy and a little girl,that sounds wonderful
1395,that sounds wonderful,except we cant afford it
1396,except we cant afford it,no wonder youre worried
1397,i dont get art,or artists
1398,or artists,theyre in a different world
1399,theyre in a different world,i saw a painting of a jar that was full of pencils
1400,i saw a painting of a jar that was full of pencils,the artist said the jar was both full and empty
1401,the artist said the jar was both full and empty,but it was full of pencils how could he say it was empty
1402,but it was full of pencils how could he say it was empty,artists see things differently
1403,artists see things differently,did you ever see anything that picasso painted
1404,did you ever see anything that picasso painted,of course hes world famous
1405,of course hes world famous,did he ever take art lessons
1406,did he ever take art lessons,i cant believe it i drew paintings like that in third grade
1407,i cant believe it i drew paintings like that in third grade,where are they maybe they are worth millions
1408,whats the point,the point of what
1409,the point of what,of living
1410,of living,who knows you live and then you die
1411,who knows you live and then you die,we must be here for some reason
1412,we must be here for some reason,maybe were here to have fun
1413,maybe were here to have fun,then why arent i having fun
1414,then why arent i having fun,because youre thinking too much
1415,because youre thinking too much,so i should stop thinking
1416,so i should stop thinking,stop thinking about what the point is
1417,stop thinking about what the point is,okay ill start thinking about having some fun
1418,okay ill start thinking about having some fun,just be patient fun doesnt come along every five minutes
1419,beer is a powerful drug,so are cigarettes
1420,so are cigarettes,which would you prefer
1421,which would you prefer,what do you mean
1422,what do you mean,when you die and go to heaven they will offer you beer or cigarettes
1423,when you die and go to heaven they will offer you beer or cigarettes,i could pick only one or the other
1424,i could pick only one or the other,yes nothings perfect not even in heaven
1425,yes nothings perfect not even in heaven,boy thats a tough one
1426,boy thats a tough one,whats so tough about it of course i would pick cigarettes
1427,whats so tough about it of course i would pick cigarettes,but cigarettes taste much better when you have a cold beer
1428,but cigarettes taste much better when you have a cold beer,well you cant have everything
